count	token	vocab	dist	context
11770	가지	사지	1	실제로 해 본 건데 뭐 술레잡기 같은 거 해 가지고 식상이 발달한 사람이 막 도망가잖아요. 아 
10529	조금	토금	1	 이게 식상의 본성이기 때문에 식상 앞에서는 조금 약한 척, 상대가 필요한 척 하는 것도 방법
7570	경우	경오	1	 분들은 딱히 연하에게 [음악] 관심이 없는 경우가 되게 많습니다. 왜냐? 이미 내 인생에 동생
4124	하지	사지	1	. 그래서 이런 분들은 목표를 먼저 정하자. 하지만 [음악] 역시나 그대들이 오래 살 수도 있지
2885	올해	을해	1	마음을 다스려 보시면 좋을 거 같고요. 특히 올해가 너무 힘들다 하신 분들 있잖아요. 이런 분들
2866	일단	일간	1	  둘 다 일단 이모생이다가 수가 세고 차가운 구성이잖아요.
2633	인생	인성	1	없는 경우가 되게 많습니다. 왜냐? 이미 내 인생에 동생이 너무 많아. 많이 없겠어요. 나 넘어
2267	결국	격국	1	 될지 모르겠어. 이런 느낌이거든요. 그니까 결국 경금을 녹이는 건 병화가 아니 정화다. 제이
2253	이유	기유	1	서 토재선들이 은근히 코인 같은 걸 잘못하는 이유가 그런 거예요. 이해가 잘 안 가요. 이 개념
2143	해서	해수	1	황의정승 스타일이랄까. 심하면 선택을 잘 못 해서 주변 사람들을 답답하게 할 수 있다고. 가끔
2128	있지	일지	1	서 하루 쟁해 얼굴에 웃음기가 하나 없을 수 있지? 우리 이혼해 [웃음] 못 하겠어. 노잼이라
2033	일이	일지	1	안 가리고 무조건 직진하는 불도자야. 대망의 일이는 두구두구두구두구두구두구 경환. 병화는 이미 
1936	아주	사주	1	녀할 [음악] 것 없이 어린 것, 약한 것을 아주 잘 다룹니다. 뭐 식신하고 상관 차이 없나요
1842	변화	병화	1	있구요 다른 학교나 회사 로 갑자기 이동하는 변화가 생긴다고 특히 힐 가능성은 갑작스러운 변화 
1609	무슨	무신	1	세계가 정전이 되면 다 없어지는 거 아니야? 무슨 얘긴지 알겠어요? 그런 개념들을 받아들이는게
1515	인해	신해	1	 진짜 자연스러운 거예요. 내가 지금 성취로 인해서 자리도 [음악] 바뀌었죠. 역할도 바뀌었죠.
1371	시기	시지	1	괜찮아. 벌써 걱정할 필요는 없어. 오히려이 시기를 무사히 넘기기만 하면 9월에는 쌓였던 일들을
1341	월이	월지	1	야 목표를 향한 집중력이 특히 높아진다고 11월이 특히 중요하니까 잘 기억해도 세 번째 염소자
1284	자꾸	자수	1	사 가지고 바다에서 종이 [음악] 박스 깔고 자꾸 이런다는 겁니다. 이제 회사 가서도 멀쩡해.
1155	화가	화개	1	도 토가 되게 강하세요. >> 아 신기하다. 화가 토를 생해 주니까 결국 토가 굉장히 강해지는
1113	자신	자식	1	전화할 수 느껴지시거나 >> 그래서 나를 나 자신을 제일 많이 공부를 해야 돼. 모르는 사람들이
1088	이미	기미	1	 관심이 없는 경우가 되게 많습니다. 왜냐? 이미 내 인생에 동생이 너무 많아. 많이 없겠어요
1018	이해	기해	1	지 바로 알려 줄게. 2위 무오일주. 무오는 이해와 포용의 화신이야. 이래도 그만. [음악] 저
964	상황	상형	1	. >> 걱정마. 겁살이 들어온다는 건 경쟁 상황이 많이 발생한다는 뜻이야. 싸워 나가면서이기는
956	인간	일간	1	 [음악] 돼. 새벽 아침 일찍. 이때 보통 인간이 어떤 상태냐면 일어나기는 했는데 몸이 일어나
902	기회	기해	1	우고 대박날 일만 남았다고 하니 오히려 좋은 기회라고. 육해살을 잘 넘기려면 명상 요가로 마음을 
812	사회	사화	1	 욕구를 뜻해. 그래서 편관이 강한 사람들은 사회가 제대로 굴러가지 못한다고 [음악] 느끼면 위
805	월은	월운	1	소에 바른 행실로 좋은 평판을 만들어 두면 7월은 위로 올라갈 일만 남았으니 꼭 참고해. 이 
794	되지	쇠지	1	 미래를 노모 카게 견뎌야 하는 무영을 맡게 되지만 꼬리 만큼 줘 큰 성과와 큰 분을 벌게 된다
756	년이	년지	1	 별자리별 행동 지침. 피상, 피상. 2026년이 코아피야. 2026년에 꼭 지켜야 하는 행동
753	계시	계미	1	포스텔러라는 어플인데 아마 사주로 많이 알고 계시는 분들 있을 거예요. 근데 저는 포스텔러는 점
739	사이	사지	1	상은 사이언스 아시죠 1 거리가 먼 미간 눈 사이 간격이 뭔 사람은 우유부단을 거절을 못 한다
735	자주	사주	1	는 기질, 연구하고 파고드는 양상이라고 제가 자주 말씀드리잖아요. 그러면 그런 행동이 나오기 
702	이성	인성	1	그러다 보니까이 식상이 발달한 사람들은 동성 이성 할 것 없이 아랫 사람과 연하에게 인기가 좋
686	정리	정미	1	대로 안 되잖아요. 예를 들어서 난 색깔별로 정리하고 싶은데 다른 사람 뭐 소재별로 하고 싶을 수
659	계신	기신	1	 장소 불문 지지의 신금 두 개 이상 가지고 계신 분들. 이분들은 일단 요게 좀 됩니다. 뭐요
575	양이	양인	1	토랑 친구인가 아닌가 궁금하신 분들은 이제이 양이 나한테 직구은 장난을 좀 치냐, 화를 내냐 
573	격각	격국	1	에는 이제 병신월인데 병오년이다 보니까 신호 격각 생 왕제의 격각은 규모가 크다라고 늘 말씀드
572	투자	무자	1	궁금한 분야의 강의를 듣는 것처럼 나를 위한 투자를 아끼지만 번 돈으로 스스로를 성장시키면 나중
572	신경	신강	1	 소분에 휘말릴 수 있다고. 사람들의 시선도 신경 쓰면서 나의 매력을 뽑는다면 도화살의 좋은 
546	현재	편재	1	  일주 지지 현재 얼굴 안 보고 못 산다고요. 정재도 마찬가지
483	계세	계사	1	음악] 수 있고 컨트롤할 수 있는 곳에 가게 계세요. 
467	월주	월지	1	왜냐? 아까 말씀드렸잖아요. 일주나 [음악] 월주에 비해서 시주는 굉장히 내 심층에 있는 본성이
431	하신	희신	1	 좋을 거 같고요. 특히 올해가 너무 힘들다 하신 분들 있잖아요. 이런 분들이 화기가 너무 강
421	양기	양지	1	가 가서 좀 취대고 싶은 선우님 밝고 따뜻한 양기에 본능적으로 끌리지 않을까 싶어요. >> 또 
401	정신	정인	1	요. 식상관 분들이 거기에 질려 가지고 가끔 정신을 차렸다고 생각하면서 뭐라 그래요? 나도 나를
397	각자	갑자	1	표현하자면 초나무들의 합이라고 할 수 있어. 각자 자기 주장이 강하지만 서로의 영역은 침범하지
383	주식	자식	1	아요. 근데 이거 지금 휩쓸려 가지고 한평생 주식 안 해 본 사람들이 막 전세 자금을 싸들고 
379	가진	갑진	1	살은 한자로 빼앗길 컵. 흉한 기운살을 써서 가진 것을 빼앗기고 위협을 받는다는 뜻의 흉살이야
369	해주	해수	1	씨가 상원 씨 옆에서 동료도 잘해주고 칭찬도 해주고 엄마처럼 잘 보살펴 줬을 것 같다. 우리의 
360	피해	기해	1	  솔직히 비견겁재에서 제일 흔한게 피해 망상이에요. 근데 이게 아주 망상은 아니에요
353	까지	사지	1	사람들은 내가 1에 있어요. 그러면 3이나 4까지 내다볼 수 있어요. 근데이 귀문관살이 있는 
339	정의	정유	1	 파라팔아나 쳐야겠다. 3위는 경금. 경금의 정의는 독재로 실현된다. 2위는 바로 무토. 겉으로
327	무언	무인	1	달은 좀 눈을 넓히는 것도 괜찮고 내가 혼자 무언가 열심히 열중하는 것도 좋지만 혼자 일을 하시
325	인정	인성	1	런 노력들도 빛을 내지 못해서 주위 사람들의 인정을 못 받는 억울한 상황이 많겠어. 그래서 그랬
322	부자	무자	1	  3월에 부자 되거나 감옥 가는 띠 세 가지. 바로 뱀띠,
305	지식	자식	1	해요 1위 쌍둥이자리 쌍둥이자리는 얕고 넓은 지식으로 만인의 대화 상대가 되는데요 문제는 지식의 
300	화기	화개	1	무 힘들다 하신 분들 있잖아요. 이런 분들이 화기가 너무 강해서 힘든 것일 수 있거든요. [음악
297	기도	기토	1	되지 않았는데 혈액간 바로 직전 그니까 제가 기도를 엄청 열심히 했거든요. 지금 이제 거의 정상
261	오해	오화	1	[음악] 느끼게 해 준다고요. 그래서 정화가 오해도 많이 받지만 여튼 그래서 별 생각 없는 임수
258	병원	병인	1	츠 하얀색이었는데 이만큼이 구겨졌고 그렇지만 병원에 막 입원할 정도는 아니었고 저 진짜 이런 일
247	주신	구신	1	고요. 데토친 영상에서 여러분들이 댓글 달아 주신 것을 리뷰하고 있어요. 그래서 오늘 영상에 
239	목과	목화	1	  이제 목과 관련이 되어 있는 직업들이 있는데요 이제 목
235	왕지	양지	1	지가 만났다 헤어지고 만났다 헤어지고 할 때 왕지가 또 여러 사람 사이에서 갈팡질팡할 때 요지는
234	부인	무인	1	자수는 귀문관살이라 해서 굉장히 예민한 성격 부인의 고집이 엄청 강하고 스트레스 매우 취약한 사
229	연주	년주	1	어떻게 늦을 걸 빠를 걸 요런 느낌이 드는게 연주 고립의 느낌이에요. 연주 고립이 있는 분들은
227	영화	병화	1	라의 색깔로 그분의 느낌이나 이런 걸 봐요. 영화랑 똑같아요. 그 빛으로 이렇게 보이는 거예요.
224	인사	신사	1	. 그 좋은 평가라함은 연봉이라든지 또는 뭐 인사 이동, 뭐 고과 이런 거 있어 가지고 좀 좋
218	대화	도화	1	 상대방을 읽어낸 후 자신이 유리한 방향으로 대화를 이끌어 나간다고 합니다이 매력으로 사람을 쥐
212	반합	방합	1	게 많이 일어나고 있어. 이노술합 중에 이노 반합이 일어나고 또 월지에서는 축이 암 >> 그리고
211	사중	사주	1	게요. 아, 그리고 이분이 계사일주여 가지고 사중에 경금이 있다고 한번 해 보겠습니다. 그냥 아
205	연인	편인	1	악] 저 사람을 위해 줄 거고 내 가족, 내 연인, 내 친구한테 [음악] 잘해 줄 거야라는 걸
204	쉬운	세운	1	그 사람을 조금 휘어잡아 버리는게 차라리 더 쉬운 공략법이거든요. 그래도 네가 좋다니까라고 해
203	개수	계수	1	수 있기 때문에 친한 느낌이 있어요. 왜냐면 개수도 엄청 섬세한 일간이고 신금도 되게 기존 많은
202	병존	병진	1	  병존의 대해서 간단하게 설명 드리면요 포스텔러 만세
199	기대	기해	1	하던 목표를 빠르게 성취할 수 있어. 주변의 기대도 커지고 활동 범위도 넓어져서 다양한 분야에서
